error,count
"""for_clue"" round index must be 1..0, got 1",26
"""intended"" word 'ARTIST' must be one of your team words on the board",3
"""intended"" word 'FIRE' must be one of your team words on the board",3
guess must be exactly one unrevealed board word; got 'CAR',2
"""intended"" word 'BLUE' must be one of your team words on the board",2
guess must be exactly one unrevealed board word; got 'MAPLE',2
"""intended"" word 'WATER' must be one of your team words on the board",2
guess must be exactly one unrevealed board word; got 'PILOT',2
guess must be exactly one unrevealed board word; got 'PIRATE',2
you must guess at least once before passing,1
guess must be exactly one unrevealed board word; got 'BUTTON',1
"""intended"" word 'RED' must be one of your team words on the board",1
guess must be exactly one unrevealed board word; got 'PIPE',1
guess must be exactly one unrevealed board word; got 'BEIJING',1
clue cannot match any word on the board,1
guess must be exactly one unrevealed board word; got 'ENGINE',1
guess must be exactly one unrevealed board word; got 'METAL',1
"""intended"" word 'CHURCH' must be one of your team words on the board",1
no JSON object found in model output,1
guess must be exactly one unrevealed board word; got 'BUTTONHOLE',1
"""intended"" word 'DOCTOR' must be one of your team words on the board",1
